index,name,start_decimal,start_hex,end_decimal,end_hex,length,length_hex,record_header_size,record_header_hex,name_prefix_offset_hex,sha256,output_file
1,Avatar_BlackSwan_00_Skill01_Phase01,,,,,697,0x2b9,,,,65b4aa6b20a03a17749674e1d3f4920eea4db6fa295f4ebc14b3a8d286ec8425,data\raw\4.4.54\manifest\config_record_probes\black_swan_records\01_Avatar_BlackSwan_00_Skill01_Phase01.bin
2,Avatar_BlackSwan_00_Skill01_Phase02,,,,,980,0x3d4,,,,3b995a7871c8d69e1f3870edb58d988521527308618ca12af182bf8fe16c3684,data\raw\4.4.54\manifest\config_record_probes\black_swan_records\02_Avatar_BlackSwan_00_Skill01_Phase02.bin
3,Avatar_BlackSwan_00_Skill02_Phase01,,,,,531,0x213,,,,ee3422a66e8ab0786f99ab6ba76c07f22f4fc484659b7d4f377fffb660e6b094,data\raw\4.4.54\manifest\config_record_probes\black_swan_records\03_Avatar_BlackSwan_00_Skill02_Phase01.bin
4,Avatar_BlackSwan_00_Skill02_Phase02,,,,,1918,0x77e,,,,1d56bfc7227920cc9da99cd85437daccd33d9836a169c78d1db267fec8f900e0,data\raw\4.4.54\manifest\config_record_probes\black_swan_records\04_Avatar_BlackSwan_00_Skill02_Phase02.bin
5,Avatar_BlackSwan_00_Skill03_Cutin,,,,,340,0x154,,,,1af714bdc0ac348830f2ce7e1ecccf876172c8f3dab505b5a2edc9c57c302dac,data\raw\4.4.54\manifest\config_record_probes\black_swan_records\05_Avatar_BlackSwan_00_Skill03_Cutin.bin
6,Avatar_BlackSwan_00_Skill03_Phase01,,,,,797,0x31d,,,,5ded07b3ea830f132f6df97021f7d8c1c45ca24e11b298f00309392a30feb631,data\raw\4.4.54\manifest\config_record_probes\black_swan_records\06_Avatar_BlackSwan_00_Skill03_Phase01.bin
7,Avatar_BlackSwan_00_Skill03_Phase02,,,,,460,0x1cc,,,,d40784b928ae7c50bb9a135cfe83dbc6e67339f9f5818eb6b4ca5db0f1210a2a,data\raw\4.4.54\manifest\config_record_probes\black_swan_records\07_Avatar_BlackSwan_00_Skill03_Phase02.bin
8,Avatar_BlackSwan_00_PassiveSkill01,,,,,2275,0x8e3,,,,b23d032fe48a84d0a1c806dcc1283b53a1c58342667e348e5862b16007d29f32,data\raw\4.4.54\manifest\config_record_probes\black_swan_records\08_Avatar_BlackSwan_00_PassiveSkill01.bin
9,Avatar_BlackSwan_00_SkillMazeInLevel,,,,,345,0x159,,,,14fc0648da932aed2ff6f9869db5603436ee16ab6c16dd428b75eb157119df92,data\raw\4.4.54\manifest\config_record_probes\black_swan_records\09_Avatar_BlackSwan_00_SkillMazeInLevel.bin
10,Avatar_BlackSwan_00_SkillMazeInLevel_Insert,,,,,1758,0x6de,,,,e6a8527c8c9e8adb5e63f89f94e3bbd2e823978ecbbe973a291f37fc8b00a79a,data\raw\4.4.54\manifest\config_record_probes\black_swan_records\10_Avatar_BlackSwan_00_SkillMazeInLevel_Insert.bin
11,Avatar_BlackSwan_00_SkillTree02,,,,,2336,0x920,,,,52057eafe0b9394aa9b0fd2c579596243355e02c3c8466637cb2635a50a1d9ff,data\raw\4.4.54\manifest\config_record_probes\black_swan_records\11_Avatar_BlackSwan_00_SkillTree02.bin
12,Avatar_BlackSwan_00_SkillTree03,,,,,582,0x246,,,,04d98f0c942959838a2255be519c98bc0da05cca87d69a181a1fa5af858ec6e7,data\raw\4.4.54\manifest\config_record_probes\black_swan_records\12_Avatar_BlackSwan_00_SkillTree03.bin
13,Avatar_BlackSwan_00_Rank01,,,,,5424,0x1530,,,,932a2b93cbd1bb9efee222e0b05c61330beed1cbf7b8994a8db9f7bd86960324,data\raw\4.4.54\manifest\config_record_probes\black_swan_records\13_Avatar_BlackSwan_00_Rank01.bin
14,Avatar_BlackSwan_00_Rank02,,,,,754,0x2f2,,,,e180648fedf99797a427814135c2a79eab616d507bd71693d175720cad5e991a,data\raw\4.4.54\manifest\config_record_probes\black_swan_records\14_Avatar_BlackSwan_00_Rank02.bin
15,Avatar_BlackSwan_00_Rank06,,,,,12433,0x3091,,,,41c997235354721907d9b785c3f2ad81c2ce4cf33d6858c96304428dfd8c0472,data\raw\4.4.54\manifest\config_record_probes\black_swan_records\15_Avatar_BlackSwan_00_Rank06.bin
