"FileName","Length","String"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","OConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264018.json"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","LSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1407.pngPSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1407.pngOSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1407_Bg.pngSSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1407_Bg.png'SpriteOutput/AvatarIcon/Avatar/1407.pngLSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1407.png{UI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264012/UI3D_DiceCombat_Skill_264012_Player.prefabzUI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264012/UI3D_DiceCombat_Skill_264012_Enemy.prefab"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","OConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264012.json"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","LSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1408.pngPSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1408.pngOSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1408_Bg.pngSSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1408_Bg.png'SpriteOutput/AvatarIcon/Avatar/1408.pngLSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1408.png{UI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264024/UI3D_DiceCombat_Skill_264024_Player.prefabzUI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264024/UI3D_DiceCombat_Skill_264024_Enemy.prefab"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","2Ev_touzi_vo_avatar_open_preciouschest_maze_phainonOConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264024.json"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","LSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1408.pngPSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1408.pngOSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1408_Bg.pngSSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1408_Bg.png'SpriteOutput/AvatarIcon/Avatar/1408.pngLSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1408.png{UI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264024/UI3D_DiceCombat_Skill_264024_Player.prefabzUI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264024/UI3D_DiceCombat_Skill_264024_Enemy.prefab"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","2Ev_touzi_vo_avatar_open_preciouschest_maze_phainonOConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264024.json"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","LSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1408.pngPSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1408.pngOSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1408_Bg.pngSSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1408_Bg.png'SpriteOutput/AvatarIcon/Avatar/1408.pngLSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1408.png{UI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264024/UI3D_DiceCombat_Skill_264024_Player.prefabzUI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264024/UI3D_DiceCombat_Skill_264024_Enemy.prefab"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","2Ev_touzi_vo_avatar_open_preciouschest_maze_phainonOConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264024.json"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","LSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1408.pngPSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1408.pngOSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1408_Bg.pngSSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1408_Bg.png'SpriteOutput/AvatarIcon/Avatar/1408.pngLSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1408.png{UI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264024/UI3D_DiceCombat_Skill_264024_Player.prefabzUI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264024/UI3D_DiceCombat_Skill_264024_Enemy.prefab"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","2Ev_touzi_vo_avatar_open_preciouschest_maze_phainonOConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264024.json"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","LSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1505.pngPSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1505.pngOSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1505_Bg.pngSSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1505_Bg.png'SpriteOutput/AvatarIcon/Avatar/1505.pngLSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1505.png{UI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264027/UI3D_DiceCombat_Skill_264027_Player.prefabzUI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264027/UI3D_DiceCombat_Skill_264027_Enemy.prefab"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","1Ev_vo_avatar_growth_ascension_unlock_evanescia_01OConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264027.json"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","LSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1505.pngPSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1505.pngOSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1505_Bg.pngSSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1505_Bg.png'SpriteOutput/AvatarIcon/Avatar/1505.pngLSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1505.png{UI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264027/UI3D_DiceCombat_Skill_264027_Player.prefabzUI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264027/UI3D_DiceCombat_Skill_264027_Enemy.prefab"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","1Ev_vo_avatar_growth_ascension_unlock_evanescia_01OConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264027.json"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","LSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1505.pngPSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1505.pngOSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1505_Bg.pngSSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1505_Bg.png'SpriteOutput/AvatarIcon/Avatar/1505.pngLSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1505.png{UI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264027/UI3D_DiceCombat_Skill_264027_Player.prefabzUI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264027/UI3D_DiceCombat_Skill_264027_Enemy.prefab"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","1Ev_vo_avatar_growth_ascension_unlock_evanescia_01OConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264027.json"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","LSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1505.pngPSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1505.pngOSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1505_Bg.pngSSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1505_Bg.png'SpriteOutput/AvatarIcon/Avatar/1505.pngLSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1505.png{UI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264027/UI3D_DiceCombat_Skill_264027_Player.prefabzUI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264027/UI3D_DiceCombat_Skill_264027_Enemy.prefab"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","1Ev_vo_avatar_growth_ascension_unlock_evanescia_01OConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264027.json"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","LSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1313.pngPSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1313.pngOSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1313_Bg.pngSSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1313_Bg.png'SpriteOutput/AvatarIcon/Avatar/1313.pngLSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1313.png{UI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264030/UI3D_DiceCombat_Skill_264030_Player.prefabzUI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264030/UI3D_DiceCombat_Skill_264030_Enemy.prefab"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","&Ev_vo_avatar_open_chest_maze_sunday_02OConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264030.json"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","LSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1313.pngPSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1313.pngOSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1313_Bg.pngSSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1313_Bg.png'SpriteOutput/AvatarIcon/Avatar/1313.pngLSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1313.png{UI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264030/UI3D_DiceCombat_Skill_264030_Player.prefabzUI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264030/UI3D_DiceCombat_Skill_264030_Enemy.prefab"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","&Ev_vo_avatar_open_chest_maze_sunday_02OConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264030.json"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","LSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1313.pngPSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1313.pngOSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1313_Bg.pngSSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1313_Bg.png'SpriteOutput/AvatarIcon/Avatar/1313.pngLSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1313.png{UI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264030/UI3D_DiceCombat_Skill_264030_Player.prefabzUI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264030/UI3D_DiceCombat_Skill_264030_Enemy.prefab"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","&Ev_vo_avatar_open_chest_maze_sunday_02OConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264030.json"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","LSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1313.pngPSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1313.pngOSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1313_Bg.pngSSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1313_Bg.png'SpriteOutput/AvatarIcon/Avatar/1313.pngLSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1313.png{UI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264030/UI3D_DiceCombat_Skill_264030_Player.prefabzUI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264030/UI3D_DiceCombat_Skill_264030_Enemy.prefab"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","&Ev_vo_avatar_open_chest_maze_sunday_02OConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264030.json"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","LSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1501.pngPSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1501.pngOSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1501_Bg.pngSSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1501_Bg.png'SpriteOutput/AvatarIcon/Avatar/1501.pngLSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1501.png{UI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264021/UI3D_DiceCombat_Skill_264021_Player.prefabzUI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264021/UI3D_DiceCombat_Skill_264021_Enemy.prefab"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","(Ev_touzi_vo_avatar_turn_begin_sparxie_01OConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264021.json"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","LSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1501.pngPSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1501.pngOSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1501_Bg.pngSSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1501_Bg.png'SpriteOutput/AvatarIcon/Avatar/1501.pngLSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1501.png{UI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264021/UI3D_DiceCombat_Skill_264021_Player.prefabzUI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264021/UI3D_DiceCombat_Skill_264021_Enemy.prefab"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","(Ev_touzi_vo_avatar_turn_begin_sparxie_01OConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264021.json"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","LSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1501.pngPSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1501.pngOSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1501_Bg.pngSSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1501_Bg.png'SpriteOutput/AvatarIcon/Avatar/1501.pngLSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1501.png{UI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264021/UI3D_DiceCombat_Skill_264021_Player.prefabzUI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264021/UI3D_DiceCombat_Skill_264021_Enemy.prefab"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","(Ev_touzi_vo_avatar_turn_begin_sparxie_01OConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264021.json"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","LSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1501.pngPSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1501.pngOSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1501_Bg.pngSSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1501_Bg.png'SpriteOutput/AvatarIcon/Avatar/1501.pngLSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1501.png{UI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264021/UI3D_DiceCombat_Skill_264021_Player.prefabzUI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264021/UI3D_DiceCombat_Skill_264021_Enemy.prefab"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","(Ev_touzi_vo_avatar_turn_begin_sparxie_01OConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264021.json"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","LSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1304.pngPSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1304.pngOSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1304_Bg.pngSSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1304_Bg.png'SpriteOutput/AvatarIcon/Avatar/1304.pngLSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1304.png{UI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264018/UI3D_DiceCombat_Skill_264018_Player.prefabzUI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264018/UI3D_DiceCombat_Skill_264018_Enemy.prefab"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","1Ev_touzi_vo_avatar_battle_victory_maze_aventurineOConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264018.json"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","LSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1304.pngPSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1304.pngOSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1304_Bg.pngSSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1304_Bg.png'SpriteOutput/AvatarIcon/Avatar/1304.pngLSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1304.png{UI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264018/UI3D_DiceCombat_Skill_264018_Player.prefabzUI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264018/UI3D_DiceCombat_Skill_264018_Enemy.prefab"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","1Ev_touzi_vo_avatar_battle_victory_maze_aventurineOConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264018.json"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","LSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1304.pngPSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1304.pngOSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1304_Bg.pngSSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1304_Bg.png'SpriteOutput/AvatarIcon/Avatar/1304.pngLSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1304.png{UI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264018/UI3D_DiceCombat_Skill_264018_Player.prefabzUI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264018/UI3D_DiceCombat_Skill_264018_Enemy.prefab"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","1Ev_touzi_vo_avatar_battle_victory_maze_aventurineOConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264018.json"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","LSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1304.pngPSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1304.pngOSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1304_Bg.pngSSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1304_Bg.png'SpriteOutput/AvatarIcon/Avatar/1304.pngLSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1304.png{UI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264018/UI3D_DiceCombat_Skill_264018_Player.prefabzUI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264018/UI3D_DiceCombat_Skill_264018_Enemy.prefab"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","1Ev_touzi_vo_avatar_battle_victory_maze_aventurineOConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264018.json"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","LSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1506.pngPSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1506.pngOSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1506_Bg.pngSSpriteOutput/Quest/DiceCombat/UI3DAvatarCard/DiceCombatAvatarCardFigure_1506_Bg.png'SpriteOutput/AvatarIcon/Avatar/1506.pngLSpriteOutput/Quest/DiceCombat/AvatarCard/DiceCombatAvatarCardFigure_1506.png{UI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264026/UI3D_DiceCombat_Skill_264026_Player.prefabzUI/UI3D/DiceCombat/_dependencies/Effect/AvatarSkill/UI3D_DiceCombat_Skill_264026/UI3D_DiceCombat_Skill_264026_Enemy.prefab"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","Attack"
"1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","1Ev_vo_avatar_addtoteam_tokafka_silverwolflv999_01OConfig/Gameplays/LittleGame/DiceCombat/DiceCombatSkill_NormalAttack_264026.json"
