"FileName","SizeMB","Match"
"5515caf6ca5446d524d17c5c9da6c3c2.bytes","119.772","State_Menu_Get_Avatar"
"5515caf6ca5446d524d17c5c9da6c3c2.bytes","119.772","State_Menu_Get_Avatar_Gold"
"5515caf6ca5446d524d17c5c9da6c3c2.bytes","119.772","State_Menu_Get_Avatar_Loop"
"5515caf6ca5446d524d17c5c9da6c3c2.bytes","119.772","State_Menu_Get_Avatar_Loop_Gold"
"5515caf6ca5446d524d17c5c9da6c3c2.bytes","119.772","Ev_Combat_Avatar_Begin"
"5515caf6ca5446d524d17c5c9da6c3c2.bytes","119.772","Ev_Combat_Monster_Begin"
"5515caf6ca5446d524d17c5c9da6c3c2.bytes","119.772","State_Battle_Speed"
"5515caf6ca5446d524d17c5c9da6c3c2.bytes","119.772","State_Battle_Auto"
"5515caf6ca5446d524d17c5c9da6c3c2.bytes","119.772","SwitchGroup_ShoesType Ev_avatar_footsteps_material_{0}"
"5515caf6ca5446d524d17c5c9da6c3c2.bytes","119.772","Ev_sfx_common_tips_monster"
"5515caf6ca5446d524d17c5c9da6c3c2.bytes","119.772","SwitchGroup_MonsterAlert_Level"
"5515caf6ca5446d524d17c5c9da6c3c2.bytes","119.772","StateGroup_Avatar_Change"
"5515caf6ca5446d524d17c5c9da6c3c2.bytes","119.772","Ev_global_set_amb_battle_stop"
"5515caf6ca5446d524d17c5c9da6c3c2.bytes","119.772","=$Ev_sfx_ui_common_gamepad_item_select'Ev_sfx_ui_common_gamepad_focus_transfer(Ev_sfx_ui_common_gamepad_roulette_select#Ev_sfx_ui_common_gamepad_scene_open+Ev_sfx_ui_click_battlePass_lightCone_select$Ev_sfx_ui_click_battlePass_lightCone.Ev_sfx_ui_feedback_phoneMessage_receiveMessage(Ev_sfx_ui_click_phoneMessage_sendMessage"
"5515caf6ca5446d524d17c5c9da6c3c2.bytes","119.772","Ev_sfx_combat_common_round_end#Ev_sfx_combat_avatar_attack_general!Ev_sfx_combat_avatar_attack_skill'Ev_sfx_combat_avatar_attack_ultra_skill%Ev_sfx_combat_common_mode_check_start#Ev_sfx_combat_common_mode_check_end!Ev_amb_set_object_volume_fade_out Ev_amb_set_object_volume_fade_in"
"5515caf6ca5446d524d17c5c9da6c3c2.bytes","119.772","State_Battle_Plot"
"5515caf6ca5446d524d17c5c9da6c3c2.bytes","119.772","Battle_Normalx"
"5515caf6ca5446d524d17c5c9da6c3c2.bytes","119.772","Monster_Monkey"
"5515caf6ca5446d524d17c5c9da6c3c2.bytes","119.772","Monster_Monkey"
"5515caf6ca5446d524d17c5c9da6c3c2.bytes","119.772","Monster_Monkey"
